millis,date,NDVI_min,NDVI_max,NDVI_mean,NDVI_median,NDVI_stdDev,NDCI_min,NDCI_max,NDCI_mean,NDCI_median,NDCI_stdDev,B1_min,B1_max,B1_mean,B1_median,B1_stdDev,B2_min,B2_max,B2_mean,B2_median,B2_stdDev,B3_min,B3_max,B3_mean,B3_median,B3_stdDev,B4_min,B4_max,B4_mean,B4_median,B4_stdDev,B5_min,B5_max,B5_mean,B5_median,B5_stdDev,B6_min,B6_max,B6_mean,B6_median,B6_stdDev,B7_min,B7_max,B7_mean,B7_median,B7_stdDev,B8_min,B8_max,B8_mean,B8_median,B8_stdDev,B8A_min,B8A_max,B8A_mean,B8A_median,B8A_stdDev,B9_min,B9_max,B9_mean,B9_median,B9_stdDev,B11_min,B11_max,B11_mean,B11_median,B11_stdDev,B12_min,B12_max,B12_mean,B12_median,B12_stdDev
1544794840000,2018-12-14 13:40:40,0.005323798172427524,0.07748255900252334,0.04644314706737404,0.04984177215189869,0.017894337014348987,0.0136452241715399,0.040046527085410455,0.025106094717096992,0.023705004389815588,0.006053404428565859,0.6943,0.8009000000000001,0.7312820926459987,0.7329,0.031017990120208835,0.6262,0.7521,0.6709785237923572,0.6682,0.027274484179267162,0.6011000000000001,0.7044,0.6351417627974042,0.6346,0.021219681853396066,0.5726,0.6471,0.6055793799567408,0.6047,0.01790010252150834,0.6022000000000001,0.682,0.6367842736121121,0.6372,0.018961320389631983,0.6099,0.6864,0.6416974945926457,0.6425000000000001,0.018576723060541298,0.6115,0.6874,0.6465743240807496,0.6447,0.01829808419490719,0.6308,0.7351000000000001,0.6646171232876709,0.6636000000000001,0.022141153664314735,0.6109,0.6905,0.6452930155010813,0.6421,0.020362825961110203,1.1294,1.3211000000000002,1.2000119051910585,1.2041,0.05303657692300978,0.48050000000000004,0.5186000000000001,0.49554728731074243,0.4953,0.010407204137471584,0.43470000000000003,0.4832,0.45215448810382086,0.45120000000000005,0.01221090687914217
1545226837000,2018-12-19 13:40:37,0.028982528263103803,0.0415980230642504,0.03513055757359613,0.035204762393513236,0.003366731623367519,0.0033698399326032393,0.012547851977881726,0.007749828262695043,0.007369972625815967,0.0022244655696808304,0.6328,0.6466000000000001,0.6402038392213404,0.6388,0.003219287774657583,0.5189,0.5253,0.5224420872386443,0.5223,0.0013154001001228048,0.4919,0.5011,0.49781614996395074,0.49810000000000004,0.00234147117102934,0.4625,0.4741,0.46906461788031695,0.4693,0.003083245023089379,0.4708,0.48190000000000005,0.47638935652487363,0.47600000000000003,0.002915593522186831,0.4824,0.4932,0.4864449621485216,0.4863,0.0023954543474327817,0.49720000000000003,0.5066,0.5023967465753423,0.5024000000000001,0.0020273064151740978,0.4978,0.5072,0.5032150324441238,0.5032,0.0020106571927982907,0.4994,0.5108,0.506233327325162,0.5064000000000001,0.002696963050157069,0.25730000000000003,0.2649,0.2607862022350395,0.2602,0.0017860990656675608,0.24020000000000002,0.24600000000000002,0.24306360850757022,0.2432,0.0012499591830135539,0.22360000000000002,0.2285,0.22634803532804604,0.2265,0.0011626508570066491
1545399046000,2018-12-21 13:30:46,0.017420862545145556,0.022090059473237028,0.019969298011868787,0.019895733588679642,0.001088184184724233,-0.01951246476148361,-0.014282575258185028,-0.017610028617093425,-0.017681079592398796,0.0011499286038049743,0.8707,0.8752000000000001,0.8728080209084349,0.8729,0.00108527804942054,0.8992,0.9052,0.9022575342465753,0.9024000000000001,0.0012709268674857385,0.9148000000000001,0.922,0.918673251622206,0.919,0.001345589924492805,0.9208000000000001,0.926,0.9230890410958902,0.9232,0.0012188778714674715,0.8869,0.8972,0.8911417988464304,0.8907,0.0019650509873793335,0.8898,0.8966000000000001,0.8925550739005039,0.8923000000000001,0.00164630073862879,0.9015000000000001,0.9111,0.9066816600576781,0.9068,0.0017811513128702036,0.9576,0.9644,0.9607079848594084,0.9606,0.0017312110896146227,0.8888,0.9012,0.895420656092285,0.8959,0.00267099881943429,0.5631,0.5662,0.5641993150684932,0.5638000000000001,0.0008355444729540591,0.1549,0.1582,0.15684650324441232,0.1569,0.0007336221988217348,0.1698,0.1743,0.17148547224224936,0.1711,0.0012677301244234968
1545658842000,2018-12-24 13:40:42,-0.3305084745762712,-0.21038251366120225,-0.27369397698294795,-0.27393030436700483,0.023893429096753772,-0.06666666666666672,-0.020783373301358897,-0.045896429914744775,-0.04739807756049058,0.00944405240837474,0.0855,0.1678,0.09976556416726745,0.0979,0.0107994447549535,0.10980000000000001,0.1504,0.12809996395097323,0.1272,0.010169627022438819,0.1272,0.1716,0.1490095259552991,0.14800000000000002,0.011589275808932995,0.1211,0.1645,0.14185378514780098,0.14120000000000002,0.011585462719657071,0.10830000000000001,0.1514,0.1294306236481614,0.1278,0.010996984599453632,0.0649,0.0971,0.08087567591925011,0.07970000000000001,0.008981855114675544,0.064,0.0983,0.08001093186733954,0.078,0.008252074569093205,0.0632,0.0978,0.08112559480894012,0.0813,0.009144080379944967,0.0504,0.0814,0.06708615717375627,0.0658,0.008164447997074619,0.0415,0.2579,0.06378651766402302,0.0551,0.029954989831684535,0.055900000000000005,0.08170000000000001,0.06715525414563805,0.0658,0.006976505533881802,0.0448,0.0704,0.05735783165104538,0.056,0.007308360288193374
1545831043000,2018-12-26 13:30:43,-0.7847457627118644,-0.7422771403353927,-0.7594718548549757,-0.7584780810587262,0.008014087269086036,-0.09526235354049921,-0.058451816745655596,-0.07425944978266878,-0.07488537952114112,0.008281207400938195,0.0328,0.037700000000000004,0.03634602559480892,0.0366,0.0012444148182161833,0.045200000000000004,0.0521,0.0495259012256669,0.0499,0.0017031932793843247,0.0839,0.0935,0.09068440879596244,0.0915,0.002488078078660705,0.09860000000000001,0.1078,0.10482354902667622,0.1057,0.0028778535084901073,0.0872,0.0927,0.0903098413842826,0.0907,0.001425898168431029,0.0196,0.0227,0.021071458183129037,0.021,0.0007495236582560951,0.0204,0.0238,0.021701586157173745,0.0216,0.0008017340104233929,0.012700000000000001,0.015700000000000002,0.014330299206921407,0.0143,0.0006124973969123816,0.004200000000000001,0.0077,0.00585811103100216,0.0058000000000000005,0.0009305679086735572,0.0001,0.001,0.00010227108868060555,0.0001,0.00011918890425689412,0.0015,0.0036000000000000003,0.0024661589762076407,0.0026000000000000003,0.0005646359672481057,0.0025,0.006200000000000001,0.004262436914203313,0.0041,0.000954498946985235
1546090840000,2018-12-29 13:40:40,-0.25000000000000006,-0.2045246102109447,-0.23386324981200218,-0.2361299052774019,0.011841485240891925,-0.035945786682380715,-0.012016021361815765,-0.024179243105262895,-0.02400468384074937,0.005408692456613886,0.11,0.1273,0.11622545061283339,0.11380000000000001,0.005455206041864884,0.1317,0.1585,0.1392776496034607,0.13770000000000002,0.006969491643978892,0.1641,0.1918,0.1719775054073539,0.17,0.0069350227697067114,0.169,0.20170000000000002,0.1785553983417447,0.1761,0.007435202869402974,0.1618,0.19140000000000001,0.17013922134102374,0.1678,0.007485679355152512,0.10690000000000001,0.1312,0.1141675198269646,0.1131,0.006335611359689627,0.1057,0.1292,0.11212514419610664,0.1107,0.005629529638796609,0.10360000000000001,0.1308,0.1109527126892573,0.109,0.0072264113090918305,0.09290000000000001,0.1183,0.09960081110310015,0.098,0.0063362326652163315,0.0874,0.10310000000000001,0.09289301550108142,0.0896,0.005585672896723607,0.0869,0.10840000000000001,0.0927655191059841,0.09090000000000001,0.005346197151208294,0.0779,0.0942,0.08190152307137705,0.08070000000000001,0.004476155648293768
1546263048000,2018-12-31 13:30:48,-0.040747505971617214,-0.032258064516129024,-0.036851378187164795,-0.03667096404526574,0.0021050985423801782,0.02116224386966743,0.029871598696028165,0.026299099924683905,0.026383654036897394,0.0016629326650340664,0.8064,0.8473,0.8396288662581106,0.8439000000000001,0.010047756977616205,0.7886000000000001,0.8238000000000001,0.8086055245133373,0.8088000000000001,0.006899541309462015,0.747,0.7789,0.7645633111030997,0.7643000000000001,0.006367772012870491,0.7104,0.7454000000000001,0.7297441059841383,0.7296,0.006635906501875092,0.7518,0.7839,0.7691613734679159,0.7688,0.00658815708491236,0.6933,0.7205,0.7095082642393652,0.7100000000000001,0.006032645035353039,0.6971,0.7245,0.714053550829127,0.7149,0.006424417060420629,0.666,0.6914,0.6778660598413839,0.6786,0.005404385737873763,0.6772,0.7076,0.6948237382840659,0.6954,0.007011167294868058,0.8951,0.9533,0.939597043979812,0.9431,0.013663944062658641,0.5709000000000001,0.5891000000000001,0.5787750180245131,0.5780000000000001,0.004039522539459203,0.44320000000000004,0.459,0.4496452775775053,0.4496,0.003751019844310222
1546522844000,2019-01-03 13:40:44,0.008018111498915152,0.01617149304249717,0.012522341225475435,0.012825348924934041,0.001960283077981939,0.015006565372350416,0.021059049763144287,0.01812871858202056,0.01816986712991218,0.0013086823265935678,1.0846,1.1022,1.0897520547945203,1.0902,0.004769765535553075,1.0744,1.0876000000000001,1.0818632840663296,1.0824,0.003150297604993141,1.0644,1.0756000000000001,1.0694822278298481,1.0692000000000002,0.0027308890680467733,1.0418,1.0532000000000001,1.0482674116798842,1.0484,0.002371834625319328,1.0822,1.0919,1.08697637887527,1.0877000000000001,0.0022869723100429912,1.0389000000000002,1.0516,1.0441345980533523,1.0442,0.0029295969458865844,1.0079,1.0194,1.012583381398702,1.0121,0.0030938137748117854,1.0684,1.0808,1.0748557498197546,1.0752000000000002,0.0030398375359402285,0.9745,0.9889,0.9803348684210518,0.9796,0.003184416275500932,1.5487,1.5487,1.5487,1.5487,6.758531445429812e-08,0.2469,0.2681,0.2592829307858687,0.2604,0.005448965451328023,0.2858,0.3023,0.29655182948810366,0.29700000000000004,0.004330337628823664
1546695045000,2019-01-05 13:30:45,-0.023888765623844385,-0.0029576076240552477,-0.015503085470256413,-0.015875338356865856,0.004359448726812246,0.01614108503960549,0.029451032749548404,0.024285946913486782,0.024686610782127215,0.002852794832735812,0.7565000000000001,0.8392000000000001,0.7897037941600572,0.7853,0.022966375085467047,0.6706000000000001,0.7871,0.7191238824801728,0.7129000000000001,0.028714107530985983,0.6302,0.7453000000000001,0.677810805695746,0.6707000000000001,0.027973395706402223,0.601,0.7142000000000001,0.6483636986301367,0.6413,0.028113001749139967,0.6332,0.746,0.6806155731795239,0.6739,0.028846126731741046,0.6063000000000001,0.7119000000000001,0.6505679343907709,0.6429,0.026876928442914734,0.5995,0.6986,0.6386881218457098,0.6323000000000001,0.025952559741630906,0.5875,0.6912,0.6284968457101655,0.6224000000000001,0.025427413697562955,0.5926,0.6882,0.6293333183129054,0.6235,0.02494681172372001,0.9211,1.0390000000000001,0.9627381578947368,0.9611000000000001,0.03464187917432787,0.4842,0.5683,0.5205357876712324,0.5159,0.02270690328143941,0.37870000000000004,0.47190000000000004,0.42309675558759896,0.42410000000000003,0.025950029430108636
1546954841000,2019-01-08 13:40:41,-0.059600614439324115,0.05682782018659883,0.01728511705119614,0.01482569787631895,0.0270275397009581,0.04410517387616625,0.07620486063435396,0.058198492559719574,0.05750000000000007,0.008132919270154618,0.3987,0.4843,0.4440078767123286,0.4398,0.021616589950694466,0.3005,0.3896,0.36026177901946616,0.3753,0.027190087667142142,0.3174,0.38870000000000005,0.3648741618601297,0.365,0.013969687368676556,0.3336,0.3805,0.34997564888248006,0.3457,0.012202619219505707,0.3693,0.43560000000000004,0.39338225486661865,0.38630000000000003,0.017577074804230677,0.3582,0.4298,0.38750102739726017,0.3886,0.02034813835941359,0.35200000000000004,0.4233,0.3865937995674115,0.3869,0.020084397738679385,0.30610000000000004,0.3865,0.3625386355443401,0.3689,0.021298687321818357,0.3503,0.4166,0.3833377253064166,0.382,0.018602388256675415,1.5155,1.5586,1.5580374279019458,1.5584,0.005683343681689716,0.20170000000000002,0.22890000000000002,0.2115864816149962,0.21050000000000002,0.007389177828392387,0.2071,0.2386,0.22267226027397233,0.2223,0.008769402504197507
